Params,Micro Precision,Micro Recall,Micro F1,Hamming,Accuracy,Jaccard,Coverage,TR,TR Macro,TL,Runtime
"{'nr_splits': 2, 'max_leaf_size': 2, 'beam_size': 20, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:46.488557
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:18.904785
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.3949723050703025,0.12954164337618781,0.19509628538356308,0.04547589462481941,0.06796116504854369,0.15859320875753774,98.60700717602364,0.014122534881285244,0.014122534881285244,3,0 days 00:00:09.410853
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:19.049777
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:18.947077
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'tfn'}",0.3949723050703025,0.12954164337618781,0.19509628538356308,0.04547589462481941,0.06796116504854369,0.15859320875753774,98.60700717602364,0.014122534881285244,0.014122534881285244,3,0 days 00:00:09.303954
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 30, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:18.285947
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:18.938469
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'tfn'}",0.3949723050703025,0.12954164337618781,0.19509628538356308,0.04547589462481941,0.06796116504854369,0.15859320875753774,98.60700717602364,0.014122534881285244,0.014122534881285244,3,0 days 00:00:09.163152
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 5, 'kmeans_max_iter': 50, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:18.326626
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn+man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:27.390513
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'tfn'}",0.3949723050703025,0.12954164337618781,0.19509628538356308,0.04547589462481941,0.06796116504854369,0.15859320875753774,98.60700717602364,0.014122534881285244,0.014122534881285244,3,0 days 00:00:09.221160
"{'nr_splits': 2, 'max_leaf_size': 5, 'beam_size': 10, 'kmeans_max_iter': 20, 'negative_sampling_scheme': 'man'}",,0.0,,0.04254484271606847,0.0,0.0,0.0,0.0,0.0,0,0 days 00:00:27.091157
